Date,ConfirmedCovidCases,Max Daily Temp
2020/03/03 00:00:00+00,1,8.5
2020/03/04 00:00:00+00,4,8.7
2020/03/05 00:00:00+00,7,7.4
2020/03/06 00:00:00+00,5,9.1
2020/03/07 00:00:00+00,1,13.4
2020/03/08 00:00:00+00,2,10.4
2020/03/09 00:00:00+00,3,12.2
2020/03/10 00:00:00+00,10,11.7
2020/03/11 00:00:00+00,9,11
2020/03/12 00:00:00+00,27,8.7
2020/03/13 00:00:00+00,20,10.5
2020/03/14 00:00:00+00,39,12.2
2020/03/15 00:00:00+00,40,9.7
2020/03/16 00:00:00+00,54,10.5
2020/03/17 00:00:00+00,69,15
2020/03/18 00:00:00+00,74,7.8
2020/03/19 00:00:00+00,191,8.8
2020/03/20 00:00:00+00,126,8.7
2020/03/21 00:00:00+00,102,7.9
2020/03/22 00:00:00+00,121,9.4
2020/03/23 00:00:00+00,219,13.1
2020/03/24 00:00:00+00,204,13.7
2020/03/25 00:00:00+00,235,14.9
2020/03/26 00:00:00+00,255,11.9
2020/03/27 00:00:00+00,302,9.9
2020/03/28 00:00:00+00,294,9.3
2020/03/29 00:00:00+00,200,6.2
2020/03/30 00:00:00+00,295,8.5
2020/03/31 00:00:00+00,325,10.3
2020/04/01 00:00:00+00,212,11.1
2020/04/02 00:00:00+00,402,12.6
2020/04/03 00:00:00+00,424,11.9
2020/04/04 00:00:00+00,331,11.8
2020/04/05 00:00:00+00,390,14.4
2020/04/06 00:00:00+00,370,13.6
2020/04/07 00:00:00+00,345,14.9
2020/04/08 00:00:00+00,365,16
2020/04/09 00:00:00+00,500,13.7
2020/04/10 00:00:00+00,480,18.4
2020/04/11 00:00:00+00,553,19.4
2020/04/12 00:00:00+00,430,11.1
2020/04/13 00:00:00+00,527,8.8
2020/04/14 00:00:00+00,548,12.9
2020/04/15 00:00:00+00,657,14.1
2020/04/16 00:00:00+00,629,13.7
2020/04/17 00:00:00+00,597,13.6
2020/04/18 00:00:00+00,630,9.5
2020/04/19 00:00:00+00,445,12.1
2020/04/20 00:00:00+00,401,12.9
2020/04/21 00:00:00+00,388,14
2020/04/22 00:00:00+00,631,14.6
2020/04/23 00:00:00+00,936,12.7
2020/04/24 00:00:00+00,577,14.7
2020/04/25 00:00:00+00,377,17.2
2020/04/26 00:00:00+00,701,11.1
2020/04/27 00:00:00+00,386,12.7
2020/04/28 00:00:00+00,229,12
2020/04/29 00:00:00+00,376,13.8
2020/04/30 00:00:00+00,359,11.3
2020/05/01 00:00:00+00,221,13.8
2020/05/02 00:00:00+00,343,14.4
2020/05/03 00:00:00+00,330,14.5
2020/05/04 00:00:00+00,266,13.3
2020/05/05 00:00:00+00,211,13.1
2020/05/06 00:00:00+00,265,14.4
2020/05/07 00:00:00+00,137,17.3
2020/05/08 00:00:00+00,156,17.7
2020/05/09 00:00:00+00,219,19.2
2020/05/10 00:00:00+00,236,11
2020/05/11 00:00:00+00,139,9.5
2020/05/12 00:00:00+00,107,13.8
2020/05/13 00:00:00+00,159,10.5
2020/05/14 00:00:00+00,426,13.8
2020/05/15 00:00:00+00,129,13.2
2020/05/16 00:00:00+00,92,15.1
2020/05/17 00:00:00+00,64,17
2020/05/18 00:00:00+00,88,17.3
2020/05/19 00:00:00+00,51,20.9
2020/05/20 00:00:00+00,64,21.5
2020/05/21 00:00:00+00,76,17.5
2020/05/22 00:00:00+00,115,17.3
2020/05/23 00:00:00+00,76,15.4
2020/05/24 00:00:00+00,57,19.9
2020/05/25 00:00:00+00,59,19.1
2020/05/26 00:00:00+00,37,18.8
2020/05/27 00:00:00+00,73,18.8
2020/05/28 00:00:00+00,46,20.7
2020/05/29 00:00:00+00,39,20.5
2020/05/30 00:00:00+00,59,20.7
2020/05/31 00:00:00+00,66,19.7
2020/06/01 00:00:00+00,77,20.6
2020/06/02 00:00:00+00,10,25
2020/06/03 00:00:00+00,47,14.7
2020/06/04 00:00:00+00,38,17.4
2020/06/05 00:00:00+00,28,14.9
2020/06/06 00:00:00+00,24,12
2020/06/07 00:00:00+00,25,16.9
2020/06/08 00:00:00+00,9,17.1
2020/06/09 00:00:00+00,9,14.6
2020/06/10 00:00:00+00,19,15
2020/06/11 00:00:00+00,8,14.3
2020/06/12 00:00:00+00,13,14.2
2020/06/13 00:00:00+00,46,16.8
2020/06/14 00:00:00+00,8,19.8
2020/06/15 00:00:00+00,18,22
2020/06/16 00:00:00+00,14,20.4
2020/06/17 00:00:00+00,8,17.1
2020/06/18 00:00:00+00,16,15.9
2020/06/19 00:00:00+00,13,15.4
